"plate","well","strain","replicate","generation","condition","allele_freq"
8,"E11","PHX2502",5,1,"albendazole","0.055872292"
9,"B03","ECA2688",3,7,"DMSO","0.032149064"
2,"B11","ECA2690",3,1,"DMSO","0.031926664"
4,"B06","ECA882",6,1,"albendazole","0.806490385"
9,"A04","PHX2502",2,7,"DMSO","0"
9,"F05","PHX2502",9,3,"DMSO","0.007786814"
7,"A04","PHX2502",7,5,"DMSO","0.003027103"
2,"E04","ECA2688",10,7,"albendazole","0.007727783"
7,"H05","N2",8,7,"DMSO","0.210637797"
4,"F06","ECA2688",8,5,"DMSO","0.012721734"
4,"H12","ECA2690",9,5,"DMSO","0.002820754"
9,"D06","ECA2690",5,1,"DMSO","0.068825911"
8,"A11","PHX2502",3,1,"albendazole","0.042338427"
2,"H11","ECA882",8,7,"albendazole","0.998221274"
5,"D03","PHX2647",10,7,"albendazole","0.182639561"
2,"E02","ECA2690",9,7,"DMSO","0.002424242"
7,"D01","ECA2687",2,7,"DMSO","0"
2,"C08","ECA2688",7,3,"albendazole","0.258753979"
4,"B11","N2",7,3,"DMSO","0.049977886"
8,"C12","N2",3,7,"DMSO","0.448559671"
8,"A12","ECA2687",6,3,"albendazole","0.002080444"
6,"B09","ECA2688",1,7,"DMSO","0.002717096"
7,"E08","ECA882",2,1,"DMSO","0.21495709"
6,"F05","ECA2687",5,7,"albendazole","6.84838E-05"
4,"F07","PHX2502",6,7,"DMSO","0.000234265"
9,"E04","ECA2690",10,5,"DMSO","0.004906364"
2,"E11","PHX2481",7,1,"albendazole","0.085737505"
3,"E10","ECA2687",3,1,"DMSO","0.04652625"
7,"B08","ECA2687",3,5,"albendazole","0"
8,"A09","ECA2688",10,5,"DMSO","0.331402831"
8,"H01","PHX2647",9,3,"DMSO","0.110026286"
2,"D04","PHX2481",8,3,"albendazole","0.255539568"
8,"C07","ECA882",4,1,"albendazole","0.508474576"
9,"G04","PHX2481",4,7,"DMSO","0.202499604"
8,"B09","PHX2647",2,3,"albendazole","0.357142857"
8,"G06","ECA2689",6,7,"DMSO","0.000511836"
8,"C11","ECA2687",6,5,"DMSO","0.296263079"
8,"H02","PHX2481",2,5,"albendazole","0.296271638"
4,"A03","PHX2481",6,3,"DMSO","0.028789162"
1,"A08","N2",10,5,"DMSO","0.315789474"
9,"F03","ECA882",5,7,"DMSO","0.374935445"
2,"G02","ECA2688",6,1,"albendazole","0.289510166"
8,"C09","ECA2690",8,3,"DMSO","0.00264167"
2,"G11","PHX2502",4,1,"DMSO","0.027672273"
7,"C05","ECA2688",1,7,"albendazole","0.007322176"
8,"H09","ECA2690",2,3,"albendazole","0.001237911"
8,"B04","ECA2688",5,7,"albendazole","0.005629838"
4,"B09","PHX2647",2,7,"albendazole","0"
4,"D11","ECA2689",9,7,"DMSO","0"
2,"C03","ECA2690",5,3,"DMSO","0.005243627"
8,"G10","ECA2688",1,3,"DMSO","0.351700501"
9,"F02","N2",1,7,"albendazole","0.701568627"
4,"A09","ECA2687",9,5,"albendazole","0"
4,"G07","N2",8,1,"albendazole","0.254294375"
2,"C11","N2",10,1,"albendazole","0.116113008"
6,"F08","ECA882",5,5,"DMSO","0.393007836"
7,"H07","N2",5,3,"albendazole","0.337646583"
4,"E09","ECA2687",6,3,"DMSO","0"
6,"A07","PHX2502",9,7,"DMSO","0.000183184"
3,"F02","PHX2647",8,7,"albendazole","0.118204139"
8,"F10","PHX2647",1,3,"DMSO","0.417008477"
2,"G10","PHX2481",6,5,"DMSO","0.034435798"
2,"D11","ECA2688",10,7,"DMSO","0.118612574"
1,"H08","PHX2481",1,3,"albendazole","0.365667421"
8,"F12","N2",1,3,"albendazole","0.630938586"
1,"H07","ECA882",5,1,"albendazole","0.619637201"
8,"H12","ECA2689",8,5,"albendazole","0.000747887"
6,"B08","ECA2687",3,3,"albendazole","0.000461148"
6,"H06","PHX2647",10,1,"albendazole","0.174815624"
8,"F01","ECA2689",4,7,"albendazole","0.001097996"
8,"F04","ECA882",3,3,"DMSO","0.288248337"
9,"H02","PHX2502",6,7,"albendazole","0.002092597"
1,"F10","PHX2647",8,1,"albendazole","0.266455878"
3,"D05","N2",8,3,"albendazole","0.189399844"
5,"F03","N2",3,5,"albendazole","0.214872638"
7,"H09","ECA2689",8,7,"albendazole","0.000339651"
5,"G04","ECA2688",1,1,"DMSO","0.440706956"
2,"F08","ECA2688",4,7,"albendazole","0.104705882"
6,"D05","ECA882",9,1,"albendazole","0.559201141"
2,"B10","ECA2689",3,5,"DMSO","0.000495233"
8,"E09","PHX2502",8,5,"albendazole","0.001141915"
8,"C06","PHX2481",5,1,"DMSO","0.208400646"
1,"G08","ECA2690",6,7,"albendazole","0"
8,"H03","ECA882",6,3,"albendazole","0.988483913"
2,"F04","ECA2688",4,1,"DMSO","0.123094297"
8,"D12","ECA2687",4,3,"DMSO","0.003381949"
5,"G03","ECA2688",4,1,"albendazole","0.284525358"
8,"B07","ECA2688",8,7,"DMSO","0.008868937"
4,"F11","PHX2481",5,5,"DMSO","0.300699301"
8,"B06","N2",4,1,"albendazole","0.258461538"
4,"E03","ECA2687",9,1,"DMSO","0.024793388"
8,"B03","ECA2687",8,7,"DMSO","0.000123145"
2,"F02","ECA2690",1,1,"DMSO","0.01936882"
8,"A08","PHX2502",2,7,"albendazole","0.000246731"
8,"G07","N2",8,1,"DMSO","0.121050472"
4,"C03","ECA882",6,5,"albendazole","0.999678017"
8,"D06","PHX2647",1,5,"DMSO","0.111522443"
8,"B12","N2",10,3,"albendazole","0.177274048"
2,"D09","ECA2687",7,7,"DMSO","0"
4,"G03","ECA2690",7,3,"albendazole","0.00040803"
1,"B08","ECA2690",1,3,"albendazole","0.000974026"
2,"C04","ECA2687",6,5,"albendazole","0.000242204"
5,"H03","ECA2689",3,1,"DMSO","0.062372517"
2,"B02","ECA2688",6,3,"albendazole","0.31247186"
2,"E08","ECA2690",4,3,"DMSO","0.002374894"
8,"H08","ECA2690",3,7,"albendazole","0.000119232"
4,"A06","PHX2502",5,3,"albendazole","0.000377252"
3,"G05","PHX2502",7,1,"albendazole","0.036594473"
4,"A11","PHX2647",6,7,"albendazole","0.002147075"
3,"B03","PHX2481",4,5,"albendazole","0.097325814"
9,"B04","ECA2687",10,5,"DMSO","0.000121205"
2,"B08","PHX2502",1,7,"DMSO","0.000178306"
2,"B09","ECA2689",5,7,"DMSO","0.00069899"
8,"F03","PHX2502",6,3,"albendazole","0.000751252"
2,"G04","PHX2647",3,7,"albendazole","0.138183384"
8,"E08","N2",3,7,"albendazole","0.147264261"
8,"C04","ECA882",10,5,"albendazole","0.992213704"
6,"A06","ECA2689",10,7,"albendazole","0"
8,"E06","ECA882",9,3,"DMSO","0.393675027"
3,"B10","PHX2502",10,3,"albendazole","0.002618406"
7,"A05","N2",4,7,"albendazole","0.346194226"
1,"D10","ECA2690",5,7,"DMSO","0.000178221"
8,"B05","PHX2647",8,5,"albendazole","0.188038793"
7,"F05","N2",1,5,"albendazole","0.810702341"
7,"E07","ECA2689",6,7,"albendazole","0.000130796"
8,"G09","ECA2689",7,1,"albendazole","0.018095238"
1,"H10","ECA2690",2,1,"albendazole","0.018993066"
1,"C10","ECA2688",6,1,"DMSO","0.325876461"
8,"D04","ECA2690",9,7,"albendazole","0"
1,"E08","ECA2690",8,7,"albendazole","0"
1,"B10","ECA2689",9,1,"albendazole","0.032889705"
7,"G11","PHX2502",10,5,"albendazole","0.000188395"
2,"G08","PHX2502",3,5,"DMSO","0.001888192"
3,"C10","ECA882",2,7,"albendazole","0.999312328"
2,"B04","PHX2481",1,5,"albendazole","0.263543192"
2,"F10","ECA2689",3,1,"albendazole","0.022141998"
3,"D10","ECA2690",4,1,"DMSO","0.051044448"
5,"B03","ECA2689",6,5,"DMSO","0.000801677"
2,"H02","PHX2647",9,5,"DMSO","0.044419835"
8,"D09","ECA882",5,7,"albendazole","0.999939694"
4,"C09","PHX2502",8,5,"DMSO","0"
7,"F11","ECA2689",4,3,"DMSO","0.001598796"
2,"A04","PHX2502",5,3,"DMSO","0.001437685"
8,"H10","ECA2688",9,5,"albendazole","0.098580595"
2,"H08","PHX2481",4,3,"albendazole","0.06420765"
5,"A03","PHX2647",4,7,"albendazole","0.091786448"
5,"H09","ECA2688",7,1,"DMSO","0.321639068"
7,"B11","ECA2690",8,1,"albendazole","0.00985605"
8,"B08","ECA2687",4,5,"DMSO","0.0016153"
8,"F08","ECA2687",10,7,"DMSO","0"
7,"A07","PHX2481",6,3,"albendazole","0.092178301"
5,"C09","N2",9,3,"albendazole","0.316666667"
4,"A05","ECA2687",2,5,"albendazole","0.000384197"
8,"H06","N2",5,7,"albendazole","0.390718992"
2,"E09","ECA2690",1,5,"DMSO","0.000115221"
8,"F06","PHX2647",7,7,"albendazole","0.02607114"
2,"D08","N2",6,3,"DMSO","0.359832636"
7,"E05","PHX2647",6,5,"albendazole","0.001335113"
8,"H04","ECA2688",6,5,"albendazole","0.093904448"
8,"F05","PHX2481",5,3,"albendazole","0.159381663"
8,"B10","ECA2689",5,6,"DMSO","0.002598077"
5,"G09","ECA2690",5,7,"albendazole","5.91506E-05"
8,"A07","ECA2690",10,1,"DMSO","0.027315914"
8,"B02","PHX2502",1,7,"albendazole","0.001139225"
8,"E03","PHX2481",10,7,"DMSO","0.022801303"
2,"A10","PHX2481",2,3,"albendazole","0.240295749"
7,"C09","ECA882",2,5,"albendazole","0.9996236"
4,"E11","ECA2689",10,3,"albendazole","0.000271027"
7,"G05","PHX2502",7,5,"albendazole","7.62021E-05"
2,"F11","ECA2690",2,7,"DMSO","0.000530473"
5,"D09","ECA2688",2,5,"albendazole","0.020144628"
1,"E10","ECA2690",6,3,"albendazole","0.003523274"
8,"F09","PHX2481",6,1,"albendazole","0.079950582"
7,"E09","ECA2687",3,3,"DMSO","0.003183129"
2,"E10","PHX2647",2,3,"DMSO","0.083775186"
6,"A11","PHX2502",7,7,"albendazole","0.000123632"
7,"C12","N2",7,3,"albendazole","0.295610298"
8,"E12","ECA2690",10,1,"albendazole","0.012796888"
4,"C11","PHX2481",1,7,"DMSO","0"
2,"H04","PHX2502",8,1,"albendazole","0.032451923"
8,"C05","ECA2690",7,1,"albendazole","0.003173596"
8,"C08","ECA2687",1,5,"DMSO","5.64908E-05"
2,"C10","PHX2481",2,5,"DMSO","0.160749231"
8,"A06","PHX2481",9,5,"albendazole","0.109711499"
2,"H10","ECA2689",10,5,"DMSO","0.001527091"
2,"G09","PHX2647",5,1,"DMSO","0.213134766"
2,"H06","ECA2689",9,7,"albendazole","0.000233604"
7,"D09","N2",10,3,"DMSO","0.180261011"
2,"D10","N2",3,5,"DMSO","0.451237263"
2,"F06","PHX2502",9,5,"albendazole","0.001860529"
2,"F09","ECA2690",7,5,"albendazole","0.000414667"
7,"F09","PHX2502",3,7,"DMSO","6.36943E-05"
2,"B06","PHX2481",8,5,"DMSO","0.103225806"
8,"A05","ECA2688",9,1,"DMSO","0.172540889"
7,"H12","ECA2688",8,1,"DMSO","0.295960054"
2,"G06","PHX2481",3,5,"albendazole","0.173717709"
8,"G03","ECA882",4,7,"albendazole","0.999880146"
8,"G02","ECA2689",2,7,"DMSO","0.000184843"
1,"G10","ECA882",5,3,"albendazole","0.967538415"
8,"E04","N2",8,5,"DMSO","0.177419355"
9,"A06","ECA2687",9,7,"albendazole","0.000280584"
7,"G09","PHX2502",9,3,"albendazole","8.45523E-05"
8,"G08","PHX2647",1,3,"albendazole","0.244388125"
8,"A02","PHX2502",4,1,"albendazole","0.040043798"
2,"C09","N2",8,3,"DMSO","0.214192425"
8,"G04","ECA2689",7,7,"DMSO","0"
2,"H09","ECA2690",3,3,"DMSO","0.003306635"
8,"E02","N2",8,7,"albendazole","0.270813397"
7,"A12","ECA2689",7,3,"albendazole","0.008313336"
9,"D04","ECA2690",5,3,"albendazole","0.081136317"
5,"B09","ECA2689",4,3,"albendazole","0.002429266"
2,"A06","ECA2688",2,3,"albendazole","0.177835052"
8,"C02","ECA2689",5,1,"DMSO","0.011904762"
5,"F09","ECA882",5,1,"DMSO","0.539494471"
7,"A09","ECA882",7,5,"albendazole","0.998025883"
7,"B12","ECA2690",4,5,"DMSO","0"
8,"D02","ECA2689",1,3,"albendazole","0.001370593"
5,"E09","ECA2688",1,5,"DMSO","0.014539275"
7,"G12","ECA2687",5,5,"DMSO","0.000175131"
8,"F02","ECA2688",5,5,"albendazole","0.001976115"
7,"D12","PHX2647",3,1,"albendazole","0.365677849"
5,"A09","ECA2687",10,7,"albendazole","0.000156063"
7,"F12","ECA2689",10,7,"DMSO","0.000372896"
7,"E12","PHX2502",8,7,"DMSO","0"
NA,"","N2",1,0,"DMSO","0.5"
NA,"","ECA882",1,0,"DMSO","0.5"
NA,"","PHX2647",1,0,"DMSO","0.5"
NA,"","PHX2502",1,0,"DMSO","0.5"
NA,"","PHX2481",1,0,"DMSO","0.5"
NA,"","ECA2687",1,0,"DMSO","0.5"
NA,"","ECA2688",1,0,"DMSO","0.5"
NA,"","ECA2689",1,0,"DMSO","0.5"
NA,"","ECA2690",1,0,"DMSO","0.5"
NA,"","PTM229",1,0,"DMSO","0.5"
NA,"","N2",2,0,"DMSO","0.5"
NA,"","ECA882",2,0,"DMSO","0.5"
NA,"","PHX2647",2,0,"DMSO","0.5"
NA,"","PHX2502",2,0,"DMSO","0.5"
NA,"","PHX2481",2,0,"DMSO","0.5"
NA,"","ECA2687",2,0,"DMSO","0.5"
NA,"","ECA2688",2,0,"DMSO","0.5"
NA,"","ECA2689",2,0,"DMSO","0.5"
NA,"","ECA2690",2,0,"DMSO","0.5"
NA,"","PTM229",2,0,"DMSO","0.5"
NA,"","N2",3,0,"DMSO","0.5"
NA,"","ECA882",3,0,"DMSO","0.5"
NA,"","PHX2647",3,0,"DMSO","0.5"
NA,"","PHX2502",3,0,"DMSO","0.5"
NA,"","PHX2481",3,0,"DMSO","0.5"
NA,"","ECA2687",3,0,"DMSO","0.5"
NA,"","ECA2688",3,0,"DMSO","0.5"
NA,"","ECA2689",3,0,"DMSO","0.5"
NA,"","ECA2690",3,0,"DMSO","0.5"
NA,"","PTM229",3,0,"DMSO","0.5"
NA,"","N2",4,0,"DMSO","0.5"
NA,"","ECA882",4,0,"DMSO","0.5"
NA,"","PHX2647",4,0,"DMSO","0.5"
NA,"","PHX2502",4,0,"DMSO","0.5"
NA,"","PHX2481",4,0,"DMSO","0.5"
NA,"","ECA2687",4,0,"DMSO","0.5"
NA,"","ECA2688",4,0,"DMSO","0.5"
NA,"","ECA2689",4,0,"DMSO","0.5"
NA,"","ECA2690",4,0,"DMSO","0.5"
NA,"","PTM229",4,0,"DMSO","0.5"
NA,"","N2",5,0,"DMSO","0.5"
NA,"","ECA882",5,0,"DMSO","0.5"
NA,"","PHX2647",5,0,"DMSO","0.5"
NA,"","PHX2502",5,0,"DMSO","0.5"
NA,"","PHX2481",5,0,"DMSO","0.5"
NA,"","ECA2687",5,0,"DMSO","0.5"
NA,"","ECA2688",5,0,"DMSO","0.5"
NA,"","ECA2689",5,0,"DMSO","0.5"
NA,"","ECA2690",5,0,"DMSO","0.5"
NA,"","PTM229",5,0,"DMSO","0.5"
NA,"","N2",6,0,"DMSO","0.5"
NA,"","ECA882",6,0,"DMSO","0.5"
NA,"","PHX2647",6,0,"DMSO","0.5"
NA,"","PHX2502",6,0,"DMSO","0.5"
NA,"","PHX2481",6,0,"DMSO","0.5"
NA,"","ECA2687",6,0,"DMSO","0.5"
NA,"","ECA2688",6,0,"DMSO","0.5"
NA,"","ECA2689",6,0,"DMSO","0.5"
NA,"","ECA2690",6,0,"DMSO","0.5"
NA,"","PTM229",6,0,"DMSO","0.5"
NA,"","N2",7,0,"DMSO","0.5"
NA,"","ECA882",7,0,"DMSO","0.5"
NA,"","PHX2647",7,0,"DMSO","0.5"
NA,"","PHX2502",7,0,"DMSO","0.5"
NA,"","PHX2481",7,0,"DMSO","0.5"
NA,"","ECA2687",7,0,"DMSO","0.5"
NA,"","ECA2688",7,0,"DMSO","0.5"
NA,"","ECA2689",7,0,"DMSO","0.5"
NA,"","ECA2690",7,0,"DMSO","0.5"
NA,"","PTM229",7,0,"DMSO","0.5"
NA,"","N2",8,0,"DMSO","0.5"
NA,"","ECA882",8,0,"DMSO","0.5"
NA,"","PHX2647",8,0,"DMSO","0.5"
NA,"","PHX2502",8,0,"DMSO","0.5"
NA,"","PHX2481",8,0,"DMSO","0.5"
NA,"","ECA2687",8,0,"DMSO","0.5"
NA,"","ECA2688",8,0,"DMSO","0.5"
NA,"","ECA2689",8,0,"DMSO","0.5"
NA,"","ECA2690",8,0,"DMSO","0.5"
NA,"","PTM229",8,0,"DMSO","0.5"
NA,"","N2",9,0,"DMSO","0.5"
NA,"","ECA882",9,0,"DMSO","0.5"
NA,"","PHX2647",9,0,"DMSO","0.5"
NA,"","PHX2502",9,0,"DMSO","0.5"
NA,"","PHX2481",9,0,"DMSO","0.5"
NA,"","ECA2687",9,0,"DMSO","0.5"
NA,"","ECA2688",9,0,"DMSO","0.5"
NA,"","ECA2689",9,0,"DMSO","0.5"
NA,"","ECA2690",9,0,"DMSO","0.5"
NA,"","PTM229",9,0,"DMSO","0.5"
NA,"","N2",10,0,"DMSO","0.5"
NA,"","ECA882",10,0,"DMSO","0.5"
NA,"","PHX2647",10,0,"DMSO","0.5"
NA,"","PHX2502",10,0,"DMSO","0.5"
NA,"","PHX2481",10,0,"DMSO","0.5"
NA,"","ECA2687",10,0,"DMSO","0.5"
NA,"","ECA2688",10,0,"DMSO","0.5"
NA,"","ECA2689",10,0,"DMSO","0.5"
NA,"","ECA2690",10,0,"DMSO","0.5"
NA,"","PTM229",10,0,"DMSO","0.5"
NA,"","N2",1,0,"albendazole","0.5"
NA,"","ECA882",1,0,"albendazole","0.5"
NA,"","PHX2647",1,0,"albendazole","0.5"
NA,"","PHX2502",1,0,"albendazole","0.5"
NA,"","PHX2481",1,0,"albendazole","0.5"
NA,"","ECA2687",1,0,"albendazole","0.5"
NA,"","ECA2688",1,0,"albendazole","0.5"
NA,"","ECA2689",1,0,"albendazole","0.5"
NA,"","ECA2690",1,0,"albendazole","0.5"
NA,"","PTM229",1,0,"albendazole","0.5"
NA,"","N2",2,0,"albendazole","0.5"
NA,"","ECA882",2,0,"albendazole","0.5"
NA,"","PHX2647",2,0,"albendazole","0.5"
NA,"","PHX2502",2,0,"albendazole","0.5"
NA,"","PHX2481",2,0,"albendazole","0.5"
NA,"","ECA2687",2,0,"albendazole","0.5"
NA,"","ECA2688",2,0,"albendazole","0.5"
NA,"","ECA2689",2,0,"albendazole","0.5"
NA,"","ECA2690",2,0,"albendazole","0.5"
NA,"","PTM229",2,0,"albendazole","0.5"
NA,"","N2",3,0,"albendazole","0.5"
NA,"","ECA882",3,0,"albendazole","0.5"
NA,"","PHX2647",3,0,"albendazole","0.5"
NA,"","PHX2502",3,0,"albendazole","0.5"
NA,"","PHX2481",3,0,"albendazole","0.5"
NA,"","ECA2687",3,0,"albendazole","0.5"
NA,"","ECA2688",3,0,"albendazole","0.5"
NA,"","ECA2689",3,0,"albendazole","0.5"
NA,"","ECA2690",3,0,"albendazole","0.5"
NA,"","PTM229",3,0,"albendazole","0.5"
NA,"","N2",4,0,"albendazole","0.5"
NA,"","ECA882",4,0,"albendazole","0.5"
NA,"","PHX2647",4,0,"albendazole","0.5"
NA,"","PHX2502",4,0,"albendazole","0.5"
NA,"","PHX2481",4,0,"albendazole","0.5"
NA,"","ECA2687",4,0,"albendazole","0.5"
NA,"","ECA2688",4,0,"albendazole","0.5"
NA,"","ECA2689",4,0,"albendazole","0.5"
NA,"","ECA2690",4,0,"albendazole","0.5"
NA,"","PTM229",4,0,"albendazole","0.5"
NA,"","N2",5,0,"albendazole","0.5"
NA,"","ECA882",5,0,"albendazole","0.5"
NA,"","PHX2647",5,0,"albendazole","0.5"
NA,"","PHX2502",5,0,"albendazole","0.5"
NA,"","PHX2481",5,0,"albendazole","0.5"
NA,"","ECA2687",5,0,"albendazole","0.5"
NA,"","ECA2688",5,0,"albendazole","0.5"
NA,"","ECA2689",5,0,"albendazole","0.5"
NA,"","ECA2690",5,0,"albendazole","0.5"
NA,"","PTM229",5,0,"albendazole","0.5"
NA,"","N2",6,0,"albendazole","0.5"
NA,"","ECA882",6,0,"albendazole","0.5"
NA,"","PHX2647",6,0,"albendazole","0.5"
NA,"","PHX2502",6,0,"albendazole","0.5"
NA,"","PHX2481",6,0,"albendazole","0.5"
NA,"","ECA2687",6,0,"albendazole","0.5"
NA,"","ECA2688",6,0,"albendazole","0.5"
NA,"","ECA2689",6,0,"albendazole","0.5"
NA,"","ECA2690",6,0,"albendazole","0.5"
NA,"","PTM229",6,0,"albendazole","0.5"
NA,"","N2",7,0,"albendazole","0.5"
NA,"","ECA882",7,0,"albendazole","0.5"
NA,"","PHX2647",7,0,"albendazole","0.5"
NA,"","PHX2502",7,0,"albendazole","0.5"
NA,"","PHX2481",7,0,"albendazole","0.5"
NA,"","ECA2687",7,0,"albendazole","0.5"
NA,"","ECA2688",7,0,"albendazole","0.5"
NA,"","ECA2689",7,0,"albendazole","0.5"
NA,"","ECA2690",7,0,"albendazole","0.5"
NA,"","PTM229",7,0,"albendazole","0.5"
NA,"","N2",8,0,"albendazole","0.5"
NA,"","ECA882",8,0,"albendazole","0.5"
NA,"","PHX2647",8,0,"albendazole","0.5"
NA,"","PHX2502",8,0,"albendazole","0.5"
NA,"","PHX2481",8,0,"albendazole","0.5"
NA,"","ECA2687",8,0,"albendazole","0.5"
NA,"","ECA2688",8,0,"albendazole","0.5"
NA,"","ECA2689",8,0,"albendazole","0.5"
NA,"","ECA2690",8,0,"albendazole","0.5"
NA,"","PTM229",8,0,"albendazole","0.5"
NA,"","N2",9,0,"albendazole","0.5"
NA,"","ECA882",9,0,"albendazole","0.5"
NA,"","PHX2647",9,0,"albendazole","0.5"
NA,"","PHX2502",9,0,"albendazole","0.5"
NA,"","PHX2481",9,0,"albendazole","0.5"
NA,"","ECA2687",9,0,"albendazole","0.5"
NA,"","ECA2688",9,0,"albendazole","0.5"
NA,"","ECA2689",9,0,"albendazole","0.5"
NA,"","ECA2690",9,0,"albendazole","0.5"
NA,"","PTM229",9,0,"albendazole","0.5"
NA,"","N2",10,0,"albendazole","0.5"
NA,"","ECA882",10,0,"albendazole","0.5"
NA,"","PHX2647",10,0,"albendazole","0.5"
NA,"","PHX2502",10,0,"albendazole","0.5"
NA,"","PHX2481",10,0,"albendazole","0.5"
NA,"","ECA2687",10,0,"albendazole","0.5"
NA,"","ECA2688",10,0,"albendazole","0.5"
NA,"","ECA2689",10,0,"albendazole","0.5"
NA,"","ECA2690",10,0,"albendazole","0.5"
NA,"","PTM229",10,0,"albendazole","0.5"
