replicate,strain,condition,generation,allele_freq
6,PHX2481,Ivermectin,7,0.041272085
7,PHX2481,Ivermectin,0,0.5
7,PHX2481,Ivermectin,1,0.653175387
7,PHX2481,Ivermectin,3,0.288461538
7,PHX2481,Ivermectin,5,0.058652095
7,PHX2481,Ivermectin,7,0.01184771
8,PHX2481,Ivermectin,0,0.5
8,PHX2481,Ivermectin,1,0.599695586
8,PHX2481,Ivermectin,3,0.457508731
8,PHX2481,Ivermectin,5,0.143659181
8,PHX2481,Ivermectin,7,0.016233766
9,PHX2481,Ivermectin,0,0.5
9,PHX2481,Ivermectin,1,0.306465155
9,PHX2481,Ivermectin,3,0.403087479
9,PHX2481,Ivermectin,5,0.451311108
9,PHX2481,Ivermectin,7,0.204827916
10,PHX2481,Ivermectin,0,0.5
10,PHX2481,Ivermectin,1,0.31316726
10,PHX2481,Ivermectin,3,0.239748578
10,PHX2481,Ivermectin,5,0.211692598
10,PHX2481,Ivermectin,7,0.330475782
1,PHX2502,DMSO,0,0.5
1,PHX2502,DMSO,1,0.017402377
1,PHX2502,DMSO,3,0.005839984
1,PHX2502,DMSO,5,0.000598802
1,PHX2502,DMSO,7,0.000803154
2,PHX2502,DMSO,0,0.5
2,PHX2502,DMSO,1,0.077779624
2,PHX2502,DMSO,3,0.002942138
2,PHX2502,DMSO,5,0.003396695
2,PHX2502,DMSO,7,0.000130285
3,PHX2502,DMSO,0,0.5
3,PHX2502,DMSO,1,0.059528198
3,PHX2502,DMSO,5,0.003061485
3,PHX2502,DMSO,7,0.00014498
4,PHX2502,DMSO,0,0.5
4,PHX2502,DMSO,1,0.042767296
4,PHX2502,DMSO,3,0.008214356
4,PHX2502,DMSO,5,0.001419287
4,PHX2502,DMSO,7,0.000948467
5,PHX2502,DMSO,0,0.5
5,PHX2502,DMSO,1,0.045427729
5,PHX2502,DMSO,3,0.003376667
5,PHX2502,DMSO,5,0.002503941
5,PHX2502,DMSO,7,0.002020045
6,PHX2502,DMSO,0,0.5
6,PHX2502,DMSO,1,0.114849785
6,PHX2502,DMSO,3,0.027170311
6,PHX2502,DMSO,5,0.00867052
6,PHX2502,DMSO,7,0.009817077
7,PHX2502,DMSO,0,0.5
7,PHX2502,DMSO,1,0.030562585
7,PHX2502,DMSO,3,0.000103284
7,PHX2502,DMSO,5,0.001952172
7,PHX2502,DMSO,7,0.000669593
8,PHX2502,DMSO,0,0.5
8,PHX2502,DMSO,1,0.070391061
8,PHX2502,DMSO,3,0.007800483
8,PHX2502,DMSO,5,0.001825617
9,PHX2502,DMSO,0,0.5
9,PHX2502,DMSO,1,0.051724138
9,PHX2502,DMSO,3,0.00582558
9,PHX2502,DMSO,5,0.00159775
9,PHX2502,DMSO,7,0.000353907
10,PHX2502,DMSO,0,0.5
10,PHX2502,DMSO,1,0.10034338
10,PHX2502,DMSO,3,0.013343037
10,PHX2502,DMSO,5,0.002430439
10,PHX2502,DMSO,7,0.005819521
1,PHX2502,Ivermectin,0,0.5
1,PHX2502,Ivermectin,1,0.058526316
1,PHX2502,Ivermectin,3,0.002592913
1,PHX2502,Ivermectin,5,0.000882471
1,PHX2502,Ivermectin,7,0.004510166
2,PHX2502,Ivermectin,0,0.5
2,PHX2502,Ivermectin,1,0.011434172
2,PHX2502,Ivermectin,3,0.0001276
2,PHX2502,Ivermectin,5,0.000775976
2,PHX2502,Ivermectin,7,0
3,PHX2502,Ivermectin,0,0.5
3,PHX2502,Ivermectin,1,0.089638369
3,PHX2502,Ivermectin,3,0.000187776
3,PHX2502,Ivermectin,5,0.001642486
3,PHX2502,Ivermectin,7,0.001914389
4,PHX2502,Ivermectin,0,0.5
4,PHX2502,Ivermectin,1,0.057709648
4,PHX2502,Ivermectin,3,0.001994416
4,PHX2502,Ivermectin,5,0.000204694
4,PHX2502,Ivermectin,7,0.000617208
5,PHX2502,Ivermectin,0,0.5
5,PHX2502,Ivermectin,1,0.083169515
5,PHX2502,Ivermectin,3,0.005015045
5,PHX2502,Ivermectin,5,0.000159579
5,PHX2502,Ivermectin,7,0.000339282
6,PHX2502,Ivermectin,0,0.5
6,PHX2502,Ivermectin,1,0.038098507
6,PHX2502,Ivermectin,3,0.00923277
6,PHX2502,Ivermectin,5,0.000463929
6,PHX2502,Ivermectin,7,0.000865908
7,PHX2502,Ivermectin,0,0.5
7,PHX2502,Ivermectin,1,0.048740287
7,PHX2502,Ivermectin,3,0.015267176
7,PHX2502,Ivermectin,5,0.013620267
7,PHX2502,Ivermectin,7,0.004396483
8,PHX2502,Ivermectin,0,0.5
8,PHX2502,Ivermectin,1,0.047069767
8,PHX2502,Ivermectin,3,0.003266788
8,PHX2502,Ivermectin,5,0.002948074
8,PHX2502,Ivermectin,7,0.000225606
9,PHX2502,Ivermectin,0,0.5
9,PHX2502,Ivermectin,1,0.097406233
9,PHX2502,Ivermectin,3,0.000987078
9,PHX2502,Ivermectin,5,0.000197122
9,PHX2502,Ivermectin,7,0.003120596
10,PHX2502,Ivermectin,0,0.5
10,PHX2502,Ivermectin,1,0.061992525
10,PHX2502,Ivermectin,3,0.00178778
10,PHX2502,Ivermectin,5,0.000124409
10,PHX2502,Ivermectin,7,0
1,PHX2647,DMSO,0,0.5
1,PHX2647,DMSO,1,0.258084577
1,PHX2647,DMSO,3,0.486486486
1,PHX2647,DMSO,5,0.432015699
1,PHX2647,DMSO,7,0.177134792
2,PHX2647,DMSO,0,0.5
2,PHX2647,DMSO,1,0.238600516
2,PHX2647,DMSO,3,0.297340639
2,PHX2647,DMSO,5,0.076238882
2,PHX2647,DMSO,7,0.037231253
3,PHX2647,DMSO,0,0.5
3,PHX2647,DMSO,1,0.344589938
3,PHX2647,DMSO,5,0.222999223
3,PHX2647,DMSO,7,0.150062267
4,PHX2647,DMSO,0,0.5
4,PHX2647,DMSO,1,0.324090638
4,PHX2647,DMSO,3,0.293004587
4,PHX2647,DMSO,3,0.316274309
4,PHX2647,DMSO,5,0.213662044
4,PHX2647,DMSO,7,0.151708808
5,PHX2647,DMSO,0,0.5
5,PHX2647,DMSO,1,0.28708134
5,PHX2647,DMSO,3,0.113756614
5,PHX2647,DMSO,5,0.091057797
5,PHX2647,DMSO,7,0.13463282
6,PHX2647,DMSO,0,0.5
6,PHX2647,DMSO,1,0.446428571
6,PHX2647,DMSO,3,0.383080607
6,PHX2647,DMSO,5,0.296187683
6,PHX2647,DMSO,7,0.23219068
7,PHX2647,DMSO,0,0.5
7,PHX2647,DMSO,1,0.570648464
7,PHX2647,DMSO,3,0.474912485
7,PHX2647,DMSO,5,0.430751174
7,PHX2647,DMSO,7,0.254362771
8,PHX2647,DMSO,0,0.5
8,PHX2647,DMSO,1,0.574221977
8,PHX2647,DMSO,3,0.530139104
8,PHX2647,DMSO,5,0.345679012
8,PHX2647,DMSO,7,0.136756757
9,PHX2647,DMSO,0,0.5
9,PHX2647,DMSO,1,0.509783184
9,PHX2647,DMSO,3,0.361795075
9,PHX2647,DMSO,5,0.224004583
9,PHX2647,DMSO,7,0.202691337
10,PHX2647,DMSO,0,0.5
10,PHX2647,DMSO,3,0.516903915
10,PHX2647,DMSO,5,0.449562414
10,PHX2647,DMSO,7,0.305402426
1,PHX2647,Ivermectin,0,0.5
1,PHX2647,Ivermectin,1,0.163330665
1,PHX2647,Ivermectin,3,0.000310824
1,PHX2647,Ivermectin,5,0
1,PHX2647,Ivermectin,7,0
2,PHX2647,Ivermectin,0,0.5
2,PHX2647,Ivermectin,1,0.232522796
2,PHX2647,Ivermectin,3,0.118402741
2,PHX2647,Ivermectin,5,0.001010101
2,PHX2647,Ivermectin,7,0.000319224
3,PHX2647,Ivermectin,0,0.5
3,PHX2647,Ivermectin,1,0.237155963
3,PHX2647,Ivermectin,3,0.009544641
3,PHX2647,Ivermectin,5,0.00079739
3,PHX2647,Ivermectin,7,0.000645911
4,PHX2647,Ivermectin,0,0.5
4,PHX2647,Ivermectin,1,0.342887102
4,PHX2647,Ivermectin,3,0.001440196
4,PHX2647,Ivermectin,5,0.000831444
4,PHX2647,Ivermectin,7,0.000223998
5,PHX2647,Ivermectin,0,0.5
5,PHX2647,Ivermectin,1,0.373900293
5,PHX2647,Ivermectin,3,0.00466003
5,PHX2647,Ivermectin,5,7.33299E-05
5,PHX2647,Ivermectin,7,0
6,PHX2647,Ivermectin,0,0.5
6,PHX2647,Ivermectin,1,0.392132608
6,PHX2647,Ivermectin,3,0.000569615
6,PHX2647,Ivermectin,5,0
6,PHX2647,Ivermectin,7,6.13987E-05
7,PHX2647,Ivermectin,0,0.5
7,PHX2647,Ivermectin,1,0.54853621
7,PHX2647,Ivermectin,3,7.56315E-05
7,PHX2647,Ivermectin,5,0.001197195
7,PHX2647,Ivermectin,7,0.003567889
8,PHX2647,Ivermectin,0,0.5
8,PHX2647,Ivermectin,1,0.586175534
8,PHX2647,Ivermectin,3,0.001933136
8,PHX2647,Ivermectin,5,0.000424899
8,PHX2647,Ivermectin,7,0
9,PHX2647,Ivermectin,0,0.5
9,PHX2647,Ivermectin,1,0.313790256
9,PHX2647,Ivermectin,3,0.00320041
9,PHX2647,Ivermectin,5,0.000217644
9,PHX2647,Ivermectin,7,0
10,PHX2647,Ivermectin,0,0.5
10,PHX2647,Ivermectin,1,0.3996633
10,PHX2647,Ivermectin,3,0.005184251
10,PHX2647,Ivermectin,5,0.001470156
10,PHX2647,Ivermectin,7,0.000604449
,,,,0.494191242
,,,,0.568181818
